timestamp,command,gesture,text,x,y,status,message,latency_ms
2026-05-16 12:34:34,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,369.75
2026-05-16 12:34:38,THAIJO_SUBMIT_SEARCH,PINCH_CONFIRM,,,,success,Submitted ThaiJO search,45.16
2026-05-16 12:37:57,OPEN_THAIJO,,,,,success,Opened ThaiJO,1522.11
2026-05-16 12:37:58,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,382.74
2026-05-16 12:38:02,THAIJO_SUBMIT_SEARCH,PINCH_CONFIRM,,,,success,Submitted ThaiJO advanced search,53.98
2026-05-16 12:44:46,OPEN_THAIJO,,,,,success,Opened ThaiJO,2445.38
2026-05-16 12:44:47,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,224.84
2026-05-16 12:48:49,CURSOR_MOVE,INDEX_FINGER,,0.5,0.5,success,"Moved cursor smoothly to (-412, 698)",51.17
2026-05-16 12:49:05,CURSOR_MOVE,INDEX_FINGER,,0.52,0.52,success,"Moved cursor smoothly to (81, 650)",50.74
2026-05-16 12:49:23,CURSOR_MOVE,INDEX_FINGER,,0.9,0.9,success,"Moved cursor smoothly to (657, 762)",51.29
2026-05-16 12:56:14,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,Scrolled down,101.9
2026-05-16 12:56:15,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,Scrolled down,102.0
2026-05-16 12:56:16,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,Scrolled down,101.72
2026-05-16 12:56:16,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,Scrolled down,102.95
2026-05-16 12:56:29,CLICK,PINCH,,,,success,Clicked,52.53
2026-05-16 12:56:47,CLICK,PINCH,,,,success,Clicked,52.12
2026-05-16 12:56:50,CLICK,PINCH,,,,success,Clicked,51.97
2026-05-16 12:56:53,CLICK,PINCH,,,,success,Clicked,52.15
2026-05-16 12:57:31,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,"Ignored SCROLL_DOWN, cooldown active",0.26
2026-05-16 12:57:31,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,Scrolled down,102.11
2026-05-16 12:57:31,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,Scrolled down,101.54
2026-05-16 12:57:31,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,Scrolled down,101.42
2026-05-16 12:57:32,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,Scrolled down,103.74
2026-05-16 12:57:32,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,"Ignored SCROLL_DOWN, cooldown active",0.26
